id,name,unit_name,nutrient_nbr,rank,category
2047,Energy (Atwater General Factors),KCAL,957,280.0,basic_macronutrients
2048,Energy (Atwater Specific Factors),KCAL,958,290.0,basic_macronutrients
1001,Solids,G,201,200.0,basic_macronutrients
1002,Nitrogen,G,202,500.0,basic_proteins
1003,Protein,G,203,600.0,basic_proteins
1004,Total lipid (fat),G,204,800.0,basic_fats
1005,"Carbohydrate, by difference",G,205,1110.0,basic_carbohydrates
1006,"Fiber, crude (DO NOT USE - Archived)",G,206,999999.0,dietary_fibers
1007,Ash,G,207,1000.0,basic_macronutrients
1008,Energy,KCAL,208,300.0,basic_macronutrients
1009,Starch,G,209,2200.0,basic_carbohydrates
1010,Sucrose,G,210,1600.0,sugars
1011,Glucose,G,211,1700.0,sugars
1012,Fructose,G,212,1800.0,sugars
1013,Lactose,G,213,1900.0,sugars
1014,Maltose,G,214,2000.0,sugars
1015,Amylose,G,218,999999.0,basic_carbohydrates
1016,Amylopectin,G,219,999999.0,basic_carbohydrates
1017,Pectin,G,220,999999.0,dietary_fibers
1018,"Alcohol, ethyl",G,221,18200.0,bioactive_compounds
1019,Pentosan,G,222,999999.0,dietary_fibers
1020,Pentoses,G,223,999999.0,dietary_fibers
1021,Hemicellulose,G,224,999999.0,dietary_fibers
1022,Cellulose,G,225,999999.0,dietary_fibers
1023,pH,PH,226,999999.0,basic_macronutrients
1024,Specific Gravity,SP_GR,227,8955,basic_macronutrients
1025,Organic acids,G,229,2850.0,organic_acids
1026,Acetic acid,MG,230,2900.0,organic_acids
1027,Aconitic acid,MG,231,3000.0,organic_acids
1028,Benzoic acid,MG,232,3100.0,organic_acids
1029,Chelidonic acid,MG,233,3200.0,organic_acids
1030,Chlorogenic acid,MG,234,3300.0,organic_acids
1031,Cinnamic acid,MG,235,3400.0,organic_acids
1032,Citric acid,MG,236,3500.0,organic_acids
1033,Fumaric acid,MG,237,3600.0,organic_acids
1034,Galacturonic acid,MG,238,3700.0,organic_acids
1035,Gallic acid,MG,239,3800.0,organic_acids
1036,Glycolic acid,MG,240,3900.0,organic_acids
1037,Isocitric acid,MG,241,4000.0,organic_acids
1038,Lactic acid,MG,242,4100.0,organic_acids
1039,Malic acid,MG,243,4200.0,organic_acids
1040,Oxaloacetic acid,MG,244,4300.0,organic_acids
1041,Oxalic acid,MG,245,4400.0,organic_acids
1042,Phytic acid,MG,246,4500.0,basic_macronutrients
1043,Pyruvic acid,MG,247,4600.0,organic_acids
1044,Quinic acid,MG,248,4700.0,organic_acids
1045,Salicylic acid,MG,249,4800.0,organic_acids
1046,Succinic acid,MG,250,4900.0,organic_acids
1047,Tartaric acid,MG,251,5000.0,organic_acids
1048,Ursolic acid,MG,252,5100.0,organic_acids
1049,"Solids, non-fat",G,253,999999.0,basic_macronutrients
1050,"Carbohydrate, by summation",G,205.2,1120.0,basic_carbohydrates
1051,Water,G,255,100.0,basic_macronutrients
1052,Adjusted Nitrogen,G,256,999999.0,basic_macronutrients
1053,Adjusted Protein,G,257,700.0,basic_proteins
1054,Piperine,G,259,999999.0,bioactive_compounds
1055,Mannitol,G,260,2500.0,sugars
1056,Sorbitol,G,261,2600.0,sugars
1057,Caffeine,MG,262,18300.0,bioactive_compounds
1058,Theobromine,MG,263,18400.0,minerals_trace
1059,Nitrates,MG,264,999999.0,bioactive_compounds
1060,Nitrites,MG,265,999999.0,bioactive_compounds
1061,"Nitrosamine,total",MG,266,999999.0,bioactive_compounds
1062,Energy,kJ,268,400.0,basic_macronutrients
1063,"Sugars, Total",G,269.3,1500.0,sugars
1064,"Solids, soluble",G,271,999999.0,basic_macronutrients
1065,Glycogen,G,272,999999.0,basic_carbohydrates
1066,"Fiber, neutral detergent (DO NOT USE - Archived)",G,273,999999.0,dietary_fibers
1067,Reducing sugars,G,274,999999.0,sugars
1068,Beta-glucans,G,276,999999.0,dietary_fibers
1069,Oligosaccharides,G,281,999999.0,dietary_fibers
1070,Nonstarch polysaccharides,G,282,999999.0,dietary_fibers
1071,Resistant starch,G,283,999999.0,basic_carbohydrates
1072,"Carbohydrate, other",G,284,,basic_carbohydrates
1073,Arabinose,G,285,999999.0,sugars
1074,Xylose,G,286,999999.0,sugars
1075,Galactose,G,287,2100.0,sugars
1076,Raffinose,G,288,2300.0,sugars
1077,Stachyose,G,289,2400.0,sugars
1078,Xylitol,G,290,2700.0,sugars
1079,"Fiber, total dietary",G,291,1200.0,dietary_fibers
1080,Lignin,G,292,999999.0,dietary_fibers
1081,Ribose,G,294,999999.0,sugars
1082,"Fiber, soluble",G,295,1240.0,dietary_fibers
1083,Theophylline,MG,296,999999.0,basic_macronutrients
1084,"Fiber, insoluble",G,297,1260.0,dietary_fibers
1085,Total fat (NLEA),G,298,900.0,basic_fats
1086,Total sugar alcohols,G,299,999999.0,sugars
1087,"Calcium, Ca",MG,301,5300.0,minerals_major
1088,"Chlorine, Cl",MG,302,999999.0,minerals_major
1089,"Iron, Fe",MG,303,5400.0,minerals_trace
1090,"Magnesium, Mg",MG,304,5500.0,minerals_major
1091,"Phosphorus, P",MG,305,5600.0,basic_macronutrients
1092,"Potassium, K",MG,306,5700.0,minerals_major
1093,"Sodium, Na",MG,307,5800.0,minerals_major
1094,"Sulfur, S",MG,308,6241.0,minerals_major
1095,"Zinc, Zn",MG,309,5900.0,minerals_trace
1096,"Chromium, Cr",UG,310,999999.0,minerals_trace
1097,"Cobalt, Co",UG,311,6244.0,minerals_trace
1098,"Copper, Cu",MG,312,6000.0,minerals_trace
1099,"Fluoride, F",UG,313,6240.0,minerals_trace
1100,"Iodine, I",UG,314,6150.0,minerals_trace
1101,"Manganese, Mn",MG,315,6100.0,minerals_trace
1102,"Molybdenum, Mo",UG,316,6243.0,minerals_trace
1103,"Selenium, Se",UG,317,6200.0,minerals_trace
1104,"Vitamin A, IU",IU,318,7500.0,vitamins_fat_soluble
1105,Retinol,UG,319,7430.0,vitamins_fat_soluble
1106,"Vitamin A, RAE",UG,320,7420.0,vitamins_fat_soluble
1107,"Carotene, beta",UG,321,7440.0,vitamins_fat_soluble
1108,"Carotene, alpha",UG,322,7450.0,basic_macronutrients
1109,Vitamin E (alpha-tocopherol),MG,323,7905.0,basic_macronutrients
1110,"Vitamin D (D2 + D3), International Units",IU,324,8650.0,vitamins_fat_soluble
1111,Vitamin D2 (ergocalciferol),UG,325,8710.0,vitamins_fat_soluble
1112,Vitamin D3 (cholecalciferol),UG,326,8720.0,vitamins_fat_soluble
1113,25-hydroxycholecalciferol,UG,327,8730.0,vitamins_fat_soluble
1114,Vitamin D (D2 + D3),UG,328,8700.0,vitamins_fat_soluble
1115,25-hydroxyergocalciferol,UG,329,8740.0,vitamins_fat_soluble
1116,Phytoene,UG,330,7570.0,basic_macronutrients
1117,Phytofluene,UG,331,7580.0,basic_macronutrients
1118,"Carotene, gamma",UG,332,7455.0,vitamins_fat_soluble
1119,Zeaxanthin,UG,338.2,7564.0,vitamins_fat_soluble
1120,"Cryptoxanthin, beta",UG,334,7460.0,vitamins_fat_soluble
1121,Lutein,UG,338.1,7562.0,vitamins_fat_soluble
1122,Lycopene,UG,337,7530.0,vitamins_fat_soluble
1123,Lutein + zeaxanthin,UG,338,7560.0,vitamins_fat_soluble
1124,Vitamin E (label entry primarily),IU,340,999999.0,vitamins_fat_soluble
1125,"Tocopherol, beta",MG,341,8000.0,basic_macronutrients
1126,"Tocopherol, gamma",MG,342,8100.0,basic_macronutrients
1127,"Tocopherol, delta",MG,343,8200.0,basic_macronutrients
1128,"Tocotrienol, alpha",MG,344,8300.0,basic_macronutrients
1129,"Tocotrienol, beta",MG,345,8400.0,vitamins_fat_soluble
1130,"Tocotrienol, gamma",MG,346,8500.0,vitamins_fat_soluble
1131,"Tocotrienol, delta",MG,347,8600.0,vitamins_fat_soluble
1132,"Aluminum, Al",UG,348,999999.0,minerals_trace
1133,"Antimony, Sb",UG,349,999999.0,minerals_trace
1134,"Arsenic, As",UG,350,999999.0,minerals_trace
1135,"Barium, Ba",UG,351,999999.0,minerals_trace
1136,"Beryllium, Be",UG,352,999999.0,minerals_trace
1137,"Boron, B",UG,354,6245.0,minerals_trace
1138,"Bromine, Br",UG,355,999999.0,minerals_trace
1139,"Cadmium, Cd",UG,356,999999.0,minerals_trace
1140,"Gold, Au",UG,363,999999.0,minerals_trace
1141,"Iron, heme",MG,364,999999.0,minerals_trace
1142,"Iron, non-heme",MG,365,999999.0,minerals_trace
1143,"Lead, Pb",UG,367,999999.0,minerals_trace
1144,"Lithium, Li",UG,368,999999.0,minerals_trace
1145,"Mercury, Hg",UG,370,999999.0,minerals_trace
1146,"Nickel, Ni",UG,371,6242.0,minerals_trace
1147,"Rubidium, Rb",UG,373,999999.0,minerals_trace
1148,Fluoride - DO NOT USE; use 313,UG,374,6250.0,minerals_trace
1149,"Salt, NaCl",MG,375,999999.0,minerals_major
1150,"Silicon, Si",UG,378,999999.0,minerals_trace
1151,"Silver, Ag",UG,379,999999.0,minerals_trace
1152,"Strontium, Sr",UG,380,999999.0,minerals_trace
1153,"Tin, Sn",UG,385,999999.0,minerals_trace
1154,"Titanium, Ti",UG,386,999999.0,minerals_trace
1155,"Vanadium, V",UG,389,999999.0,minerals_trace
1156,"Vitamin A, RE",MCG_RE,392,7500.0,vitamins_fat_soluble
1157,Carotene,MCG_RE,393,7600.0,vitamins_fat_soluble
1158,Vitamin E,MG_ATE,394,7800.0,vitamins_fat_soluble
1159,cis-beta-Carotene,UG,321.1,7442.0,vitamins_fat_soluble
1160,cis-Lycopene,UG,337.1,7532.0,vitamins_fat_soluble
1161,cis-Lutein/Zeaxanthin,UG,338.3,7561.0,vitamins_fat_soluble
1162,"Vitamin C, total ascorbic acid",MG,401,6300.0,vitamins_water_soluble
1163,"Vitamin C, reduced ascorbic acid",MG,402,999999.0,vitamins_water_soluble
1164,"Vitamin C, dehydro ascorbic acid",MG,403,999999.0,vitamins_water_soluble
1165,Thiamin,MG,404,6400.0,vitamins_water_soluble
1166,Riboflavin,MG,405,6500.0,vitamins_water_soluble
1167,Niacin,MG,406,6600.0,vitamins_water_soluble
1168,"Niacin from tryptophan, determined",MG,407,999999.0,basic_macronutrients
1169,Niacin equivalent N406 +N407,MG,409,999999.0,vitamins_water_soluble
1170,Pantothenic acid,MG,410,6700.0,vitamins_water_soluble
1171,"Vitamin B-6, pyridoxine, alcohol form",MG,411,999999.0,vitamins_water_soluble
1172,"Vitamin B-6, pyridoxal, aldehyde form",MG,412,999999.0,vitamins_water_soluble
1173,"Vitamin B-6, pyridoxamine, amine form",MG,413,999999.0,vitamins_water_soluble
1174,"Vitamin B-6, N411 + N412 +N413",MG,414,999999.0,vitamins_water_soluble
1175,Vitamin B-6,MG,415,6800.0,vitamins_water_soluble
1176,Biotin,UG,416,6850.0,vitamins_water_soluble
1177,"Folate, total",UG,417,6900.0,vitamins_water_soluble
1178,Vitamin B-12,UG,418,7300.0,vitamins_water_soluble
1179,"Folate, free",UG,419,999999.0,vitamins_water_soluble
1180,"Choline, total",MG,421,7220.0,bioactive_compounds
1181,Inositol,MG,422,2800.0,bioactive_compounds
1182,Inositol phosphate,MG,423,999999.0,basic_macronutrients
1183,Vitamin K (Menaquinone-4),UG,428,8950.0,vitamins_fat_soluble
1184,Vitamin K (Dihydrophylloquinone),UG,429,8900.0,basic_macronutrients
1185,Vitamin K (phylloquinone),UG,430,8800.0,basic_macronutrients
1186,Folic acid,UG,431,7000.0,vitamins_water_soluble
1187,"Folate, food",UG,432,7100.0,vitamins_water_soluble
1188,5-methyl tetrahydrofolate (5-MTHF),UG,433,999999.0,vitamins_water_soluble
1189,"Folate, not 5-MTHF",UG,434,999999.0,vitamins_water_soluble
1190,"Folate, DFE",UG,435,7200.0,vitamins_water_soluble
1191,10-Formyl folic acid (10HCOFA),UG,436,999999.0,vitamins_water_soluble
1192,5-Formyltetrahydrofolic acid (5-HCOH4,UG,437,999999.0,vitamins_water_soluble
1193,Tetrahydrofolic acid (THF),UG,438,999999.0,vitamins_water_soluble
1194,"Choline, free",MG,450,7230.0,bioactive_compounds
1195,"Choline, from phosphocholine",MG,451,7240.0,basic_macronutrients
1196,"Choline, from phosphotidyl choline",MG,452,7250.0,basic_macronutrients
1197,"Choline, from glycerophosphocholine",MG,453,7260.0,basic_macronutrients
1198,Betaine,MG,454,7290.0,bioactive_compounds
1199,"Choline, from sphingomyelin",MG,455,7270.0,basic_macronutrients
1200,p-Hydroxy benzoic acid,MG,460,999999.0,organic_acids
1201,Caffeic acid,MG,461,999999.0,organic_acids
1202,p-Coumaric acid,MG,462,999999.0,organic_acids
1203,Ellagic acid,MG,463,999999.0,organic_acids
1204,Ferrulic acid,MG,464,999999.0,organic_acids
1205,Gentisic acid,MG,465,999999.0,organic_acids
1206,Tyrosol,MG,466,999999.0,phytochemicals
1207,Vanillic acid,MG,467,999999.0,organic_acids
1208,"Phenolic acids, total",MG,469,999999.0,basic_macronutrients
1209,"Polyphenols, total",MG,470,999999.0,basic_macronutrients
1210,Tryptophan,G,501,16300.0,basic_macronutrients
1211,Threonine,G,502,16400.0,amino_acids
